code,system
4JUK.00,readv2
4JUK.00,readv2
A022200,readv2
A022200,readv2
A116.00,readv2
A116.00,readv2
A3BXA00,readv2
AyuK900,readv2
A3BXA00,readv2
AyuK900,readv2
A3BXB00,readv2
AyuKA00,readv2
A3BXB00,readv2
AyuKA00,readv2
A3By.00,readv2
H22..00,readv2
H22..11,readv2
H22y.00,readv2
H22yz00,readv2
H22z.00,readv2
Hyu0A00,readv2
A3By.00,readv2
H22..00,readv2
H22..11,readv2
H22y.00,readv2
H22yz00,readv2
H22z.00,readv2
Hyu0A00,readv2
A521.00,readv2
H24y700,readv2
A521.00,readv2
H24y700,readv2
A54x400,readv2
A54x400,readv2
A551.00,readv2
A551.00,readv2
H200.00,readv2
H200.00,readv2
H201.00,readv2
H201.00,readv2
H202.00,readv2
H270.00,readv2
H270.11,readv2
H270.99,readv2
H270000,readv2
H270z00,readv2
H2?00,readv2
H2y..00,readv2
H2z..00,readv2
H202.00,readv2
H270.00,readv2
H270.11,readv2
H270.99,readv2
H270000,readv2
H270z00,readv2
H2?00,readv2
H2y..00,readv2
H2z..00,readv2
H21..00,readv2
H21..99,readv2
H260.00,readv2
H21..00,readv2
H21..99,readv2
H260.00,readv2
H21..11,readv2
H21..11,readv2
H220.00,readv2
H220.00,readv2
H221.00,readv2
H221.00,readv2
H222.00,readv2
H222.11,readv2
H222.00,readv2
H222.11,readv2
H223.00,readv2
H223.00,readv2
H223000,readv2
H223000,readv2
H224.00,readv2
H224.00,readv2
H22y000,readv2
H22y011,readv2
H22y000,readv2
H22y011,readv2
H22y100,readv2
H22y100,readv2
H22y200,readv2
H22y200,readv2
H22yx00,readv2
H22yx00,readv2
H23..00,readv2
H23z.00,readv2
H25..00,readv2
H26..00,readv2
Hyu0H00,readv2
H23..00,readv2
H23z.00,readv2
H25..00,readv2
H26..00,readv2
Hyu0H00,readv2
H231.00,readv2
H231.99,readv2
H231.00,readv2
H231.99,readv2
H232.00,readv2
H232.00,readv2
H233.00,readv2
H233.00,readv2
H240.00,readv2
H240.99,readv2
H240.00,readv2
H240.99,readv2
H243.00,readv2
H243.99,readv2
H243.00,readv2
H243.99,readv2
H243.11,readv2
H243.11,readv2
H246.00,readv2
H246.00,readv2
H24y000,readv2
H24y000,readv2
H24y200,readv2
H24y200,readv2
H25..99,readv2
H25..99,readv2
H260000,readv2
H260000,readv2
H261.00,readv2
H261.00,readv2
H262.00,readv2
H262.00,readv2
H263.00,readv2
H263.00,readv2
H270100,readv2
H270100,readv2
H28..00,readv2
H28..00,readv2
H2B..00,readv2
H2B..00,readv2
H2C..00,readv2
H2C..00,readv2
H2z..98,readv2
H2z..98,readv2
H530300,readv2
H530300,readv2
H56y100,readv2
H56y100,readv2
H571.00,readv2
H571.00,readv2
1033111000000104,snomedct
111900000,snomedct
191727003,snomedct
195878008,snomedct
195881003,snomedct
195886008,snomedct
195888009,snomedct
195889001,snomedct
195896004,snomedct
195900001,snomedct
195908008,snomedct
195911009,snomedct
196112005,snomedct
205237003,snomedct
22754005,snomedct
233606009,snomedct
233609002,snomedct
233624006,snomedct
2523007,snomedct
266350000,snomedct
278516003,snomedct
300999006,snomedct
301000005,snomedct
301001009,snomedct
301002002,snomedct
301003007,snomedct
301004001,snomedct
312342009,snomedct
314978007,snomedct
34020007,snomedct
385093006,snomedct
396285007,snomedct
406595002,snomedct
40733004,snomedct
41207000,snomedct
41269000,snomedct
41381004,snomedct
415125002,snomedct
425464007,snomedct
425996009,snomedct
426696003,snomedct
440990006,snomedct
46970008,snomedct
51530003,snomedct
53084003,snomedct
540151000000108,snomedct
59475000,snomedct
64479007,snomedct
64667001,snomedct
64917006,snomedct
689401000000108,snomedct
70036007,snomedct
7548000,snomedct
75570004,snomedct
80003002,snomedct
87628006,snomedct
95436008,snomedct
9861002,snomedct
1033111000000104,snomedct
111900000,snomedct
191727003,snomedct
195878008,snomedct
195881003,snomedct
195886008,snomedct
195888009,snomedct
195889001,snomedct
195896004,snomedct
195900001,snomedct
195908008,snomedct
195911009,snomedct
196112005,snomedct
205237003,snomedct
22754005,snomedct
233606009,snomedct
233609002,snomedct
233624006,snomedct
2523007,snomedct
266350000,snomedct
278516003,snomedct
300999006,snomedct
301000005,snomedct
301001009,snomedct
301002002,snomedct
301003007,snomedct
301004001,snomedct
312342009,snomedct
314978007,snomedct
34020007,snomedct
385093006,snomedct
396285007,snomedct
406595002,snomedct
40733004,snomedct
41207000,snomedct
41269000,snomedct
41381004,snomedct
415125002,snomedct
425464007,snomedct
425996009,snomedct
426696003,snomedct
440990006,snomedct
46970008,snomedct
51530003,snomedct
53084003,snomedct
540151000000108,snomedct
59475000,snomedct
64479007,snomedct
64667001,snomedct
64917006,snomedct
689401000000108,snomedct
70036007,snomedct
7548000,snomedct
75570004,snomedct
80003002,snomedct
87628006,snomedct
95436008,snomedct
9861002,snomedct
B01.2+,icd10
B01.2+,icd10
J10.0,icd10
J11.0,icd10
J14,icd10
J10.0,icd10
J11.0,icd10
J14,icd10
J13,icd10
J13,icd10
J15,icd10
J15,icd10
J17,icd10
J17,icd10
J18,icd10
J18,icd10
CA40,icd11
